PickListType,TruckSeqNo,CarType,PrepareForward,PostLocationName,hour,day_of_week,week_of_month,month,total_tile_amount,total_fitting_amount,total_accessories_amount,total_sap_amount,product_group_count,queue_waiting,queue_loading,queue_closing,total_queue,available_bays,sap_per_group,queue_x_bays,queue_x_sap,rolling_avg_time_last5,inter_arrival_min,car_type_x_sap,avg_time_by_cartype,rolling_avg_cartype_last10,total_time_min
0.0,2.0,3.0,0.0,3.0,7,3,1,1,6720.0,0.0,0.0,6720.0,1,0,0,0,0,10,6720.0,0.0,0.0,72.05,2.8,20160.0,74.15,72.05,81.97
0.0,3.0,1.0,0.0,3.0,10,3,1,1,1500.0,118.0,0.0,1618.0,2,0,0,0,0,10,809.0,0.0,0.0,77.01,210.85,1618.0,52.28,52.28,40.38
0.0,4.0,3.0,0.0,9.0,12,3,1,1,0.0,523.0,0.0,523.0,1,0,0,0,0,10,523.0,0.0,0.0,64.8,73.35,1569.0,74.15,77.01,38.0
0.0,5.0,1.0,0.0,7.0,13,3,1,1,1300.0,0.0,0.0,1300.0,1,0,0,0,0,10,1300.0,0.0,0.0,58.1,66.5,1300.0,52.28,40.38,28.67
0.0,6.0,1.0,0.0,3.0,13,3,1,1,1450.0,145.0,0.0,1595.0,2,1,0,0,1,10,797.5,0.1,1595.0,52.21,0.7,1595.0,52.28,34.53,45.2
0.0,7.0,1.0,0.0,6.0,13,3,1,1,968.0,0.0,95.0,1063.0,2,1,0,0,1,10,531.5,0.1,1063.0,46.84,3.58,1063.0,52.28,38.08,40.07
0.0,8.0,2.0,0.0,6.0,13,3,1,1,2720.0,233.0,47.0,3000.0,3,0,2,1,3,8,1000.0,0.0,0.0,38.46,22.45,6000.0,59.87,59.87,58.77
2.0,9.0,3.0,1.0,9.0,13,3,1,1,240.0,0.0,0.0,240.0,1,1,2,1,4,8,240.0,0.125,240.0,42.14,0.88,720.0,74.15,64.01,35.22
0.0,10.0,1.0,0.0,8.0,14,3,1,1,1000.0,282.0,0.0,1282.0,2,0,1,0,1,9,641.0,0.0,0.0,41.59,42.48,1282.0,52.28,38.58,48.33
2.0,1.0,1.0,1.0,9.0,7,4,1,1,958.0,214.0,313.0,1485.0,3,0,0,0,0,10,495.0,0.0,0.0,45.52,1018.4,1485.0,52.28,40.53,29.5
2.0,2.0,3.0,1.0,6.0,7,4,1,1,6000.0,0.0,0.0,6000.0,1,1,0,0,1,10,6000.0,0.1,6000.0,42.38,0.27,18000.0,74.15,56.81,64.08
2.0,3.0,3.0,1.0,7.0,7,4,1,1,6000.0,0.0,0.0,6000.0,1,2,0,0,2,10,6000.0,0.2,12000.0,47.18,0.13,18000.0,74.15,58.26,75.42
0.0,5.0,1.0,0.0,9.0,7,4,1,1,1260.0,0.0,0.0,1260.0,1,2,1,0,3,9,1260.0,0.2222,2520.0,50.51,1.87,1260.0,52.28,38.69,36.95
0.0,6.0,1.0,0.0,9.0,7,4,1,1,740.0,189.0,0.0,929.0,2,3,1,0,4,9,464.5,0.3333,2787.0,50.86,0.62,929.0,52.28,38.44,34.37
2.0,8.0,3.0,1.0,3.0,8,4,1,1,6720.0,0.0,0.0,6720.0,1,0,1,1,2,9,6720.0,0.0,0.0,48.06,37.53,20160.0,74.15,61.12,57.47
2.0,11.0,3.0,1.0,9.0,9,4,1,1,4260.0,373.0,56.0,4689.0,3,0,0,0,0,10,1563.0,0.0,0.0,53.66,69.53,14067.0,74.15,60.6,61.43
2.0,12.0,3.0,1.0,8.0,9,4,1,1,5760.0,0.0,0.0,5760.0,1,0,0,1,1,10,5760.0,0.0,0.0,53.13,42.75,17280.0,74.15,60.7,67.27
0.0,13.0,1.0,0.0,3.0,9,4,1,1,1200.0,168.0,1.0,1369.0,3,1,0,1,2,10,456.33,0.1,1369.0,51.5,3.58,1369.0,52.28,37.93,33.6
2.0,14.0,3.0,1.0,8.0,10,4,1,1,5760.0,0.0,0.0,5760.0,1,0,0,1,1,10,5760.0,0.0,0.0,50.83,50.1,17280.0,74.15,61.43,55.67
0.0,16.0,1.0,0.0,10.0,11,4,1,1,0.0,7.0,320.0,327.0,2,0,0,1,1,10,163.5,0.0,0.0,55.09,44.87,327.0,52.28,37.45,39.55
0.0,19.0,1.0,0.0,8.0,12,4,1,1,1100.0,0.0,0.0,1100.0,1,1,1,1,3,9,1100.0,0.1111,1100.0,67.19,6.55,1100.0,52.28,37.66,29.9
2.0,21.0,3.0,1.0,8.0,12,4,1,1,2880.0,203.0,1.0,3084.0,3,0,1,1,2,9,1028.0,0.0,0.0,66.45,27.3,9252.0,74.15,66.17,72.95
0.0,22.0,1.0,0.0,3.0,12,4,1,1,1470.0,171.0,8.0,1649.0,3,0,1,1,2,9,549.67,0.0,0.0,69.91,11.78,1649.0,52.28,36.61,44.3
0.0,23.0,1.0,0.0,9.0,13,4,1,1,0.0,2520.0,0.0,2520.0,1,0,1,3,4,9,2520.0,0.0,0.0,70.86,36.9,2520.0,52.28,38.18,29.33
2.0,24.0,3.0,1.0,8.0,13,4,1,1,5760.0,0.0,0.0,5760.0,1,0,0,0,0,10,5760.0,0.0,0.0,57.18,29.5,17280.0,74.15,69.66,35.32
0.0,26.0,1.0,0.0,4.0,13,4,1,1,700.0,300.0,0.0,1000.0,2,0,1,0,1,9,500.0,0.0,0.0,42.36,4.37,1000.0,52.28,36.59,40.85
2.0,30.0,3.0,1.0,8.0,14,4,1,1,5400.0,824.0,30.0,6254.0,3,0,1,0,1,9,2084.67,0.0,0.0,50.99,25.67,18762.0,74.15,73.78,61.03
2.0,33.0,3.0,1.0,4.0,15,4,1,1,0.0,400.0,0.0,400.0,1,0,1,1,2,9,400.0,0.0,0.0,54.33,20.57,1200.0,74.15,72.34,51.05
0.0,35.0,1.0,0.0,3.0,15,4,1,1,1000.0,0.0,0.0,1000.0,1,0,1,2,3,9,1000.0,0.0,0.0,68.09,18.02,1000.0,52.28,36.67,35.45
0.0,36.0,1.0,0.0,10.0,15,4,1,1,1035.0,0.0,0.0,1035.0,1,0,1,3,4,9,1035.0,0.0,0.0,67.01,17.97,1035.0,52.28,35.38,23.55
2.0,37.0,3.0,1.0,9.0,16,4,1,1,5760.0,0.0,0.0,5760.0,1,0,1,3,4,9,5760.0,0.0,0.0,50.7,5.88,17280.0,74.15,73.8,42.5
0.0,38.0,1.0,0.0,3.0,16,4,1,1,956.0,95.0,0.0,1051.0,2,1,1,3,5,9,525.5,0.1111,1051.0,46.99,1.98,1051.0,52.28,34.78,42.65
0.0,39.0,1.0,0.0,3.0,16,4,1,1,320.0,40.0,0.0,360.0,2,0,1,3,4,9,180.0,0.0,0.0,45.31,12.1,360.0,52.28,35.35,33.12
0.0,40.0,1.0,0.0,4.0,16,4,1,1,1604.0,0.0,0.0,1604.0,1,1,2,1,4,8,1604.0,0.125,1604.0,35.45,4.95,1604.0,52.28,35.23,33.25
